method,cost-ge,valid-ge,diversity-ge,dpp-ge,manifold_dist-ge,likelihood-ge,cost-sb,valid-sb,diversity-sb,dpp-sb,manifold_dist-sb,likelihood-sb,cost-st,valid-st,diversity-st,dpp-st,manifold_dist-st,likelihood-st,cost-ad,valid-ad,diversity-ad,dpp-ad,manifold_dist-ad,likelihood-ad,cost-ba,valid-ba,diversity-ba,dpp-ba,manifold_dist-ba,likelihood-ba
FRPD-QUAD,\textbf{0.38} $\pm$ 0.31,\textbf{1.00} $\pm$ 0.00,0.54 $\pm$ 0.41,\textbf{0.20} $\pm$ 0.19,0.18 $\pm$ 0.12,\textbf{-1110.93} $\pm$ 248.91,\textbf{0.43} $\pm$ 0.26,\textbf{1.00} $\pm$ 0.00,\textbf{0.70} $\pm$ 0.40,0.29 $\pm$ 0.17,\textbf{0.19} $\pm$ 0.10,\textbf{-1441.06} $\pm$ 483.01,1.13 $\pm$ 0.50,\textbf{1.00} $\pm$ 0.00,\textbf{1.53} $\pm$ 0.53,0.59 $\pm$ 0.17,\textbf{0.36} $\pm$ 0.14,\textbf{-1222.50} $\pm$ 172.68,\textbf{1.28} $\pm$ 0.62,\textbf{1.00} $\pm$ 0.00,1.68 $\pm$ 0.72,\textbf{0.59} $\pm$ 0.24,\textbf{0.29} $\pm$ 0.20,\textbf{-172415.26} $\pm$ 18579.67,\textbf{1.25} $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{1.79} $\pm$ 0.33,0.67 $\pm$ 0.12,\textbf{0.29} $\pm$ 0.13,\textbf{-6506.01} $\pm$ 672.83
DICE,0.61 $\pm$ 0.25,\textbf{1.00} $\pm$ 0.00,\textbf{0.96} $\pm$ 0.36,0.32 $\pm$ 0.16,\textbf{0.10} $\pm$ 0.06,-1295.57 $\pm$ 215.19,0.63 $\pm$ 0.29,0.98 $\pm$ 0.15,0.56 $\pm$ 0.38,\textbf{0.19} $\pm$ 0.14,0.53 $\pm$ 0.24,-1931.81 $\pm$ 694.36,\textbf{0.50} $\pm$ 0.17,0.47 $\pm$ 0.50,0.68 $\pm$ 0.32,\textbf{0.31} $\pm$ 0.12,0.66 $\pm$ 0.22,-1416.89 $\pm$ 355.36,1.89 $\pm$ 0.38,\textbf{1.00} $\pm$ 0.00,\textbf{2.27} $\pm$ 0.31,0.76 $\pm$ 0.08,0.79 $\pm$ 0.41,-194214.87 $\pm$ 20960.30,1.73 $\pm$ 0.28,\textbf{1.00} $\pm$ 0.00,1.53 $\pm$ 0.53,\textbf{0.52} $\pm$ 0.23,0.46 $\pm$ 0.28,-9202.36 $\pm$ 851.14
