method,cost-ge,valid-ge,diversity-ge,dpp-ge,manifold_dist-ge,likelihood-ge,cost-sb,valid-sb,diversity-sb,dpp-sb,manifold_dist-sb,likelihood-sb,cost-st,valid-st,diversity-st,dpp-st,manifold_dist-st,likelihood-st,cost-ad,valid-ad,diversity-ad,dpp-ad,manifold_dist-ad,likelihood-ad,cost-ba,valid-ba,diversity-ba,dpp-ba,manifold_dist-ba,likelihood-ba
FRPD-QUAD,\textbf{0.26} $\pm$ 0.23,\textbf{1.00} $\pm$ 0.00,0.38 $\pm$ 0.31,0.09 $\pm$ 0.10,\textbf{0.08} $\pm$ 0.06,-0.12 $\pm$ 0.03,0.42 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{0.69} $\pm$ 0.42,0.24 $\pm$ 0.18,\textbf{0.15} $\pm$ 0.11,-0.15 $\pm$ 0.05,1.11 $\pm$ 0.46,\textbf{1.00} $\pm$ 0.00,\textbf{1.51} $\pm$ 0.45,\textbf{0.56} $\pm$ 0.18,0.39 $\pm$ 0.17,-0.12 $\pm$ 0.02,1.35 $\pm$ 0.63,\textbf{1.00} $\pm$ 0.00,1.76 $\pm$ 0.71,0.61 $\pm$ 0.22,0.38 $\pm$ 0.21,\textbf{-17.15} $\pm$ 1.88,1.21 $\pm$ 0.32,\textbf{1.00} $\pm$ 0.00,1.67 $\pm$ 0.41,0.63 $\pm$ 0.14,0.35 $\pm$ 0.13,\textbf{-0.64} $\pm$ 0.08
FRPD-DPP-GR,0.32 $\pm$ 0.24,\textbf{1.00} $\pm$ 0.00,0.53 $\pm$ 0.37,0.16 $\pm$ 0.15,0.13 $\pm$ 0.09,\textbf{-0.11} $\pm$ 0.03,\textbf{0.38} $\pm$ 0.30,\textbf{1.00} $\pm$ 0.00,0.63 $\pm$ 0.46,0.23 $\pm$ 0.20,0.17 $\pm$ 0.12,\textbf{-0.14} $\pm$ 0.05,1.06 $\pm$ 0.51,\textbf{1.00} $\pm$ 0.00,1.46 $\pm$ 0.55,0.55 $\pm$ 0.20,\textbf{0.37} $\pm$ 0.16,\textbf{-0.12} $\pm$ 0.02,\textbf{1.29} $\pm$ 0.61,\textbf{1.00} $\pm$ 0.00,1.81 $\pm$ 0.76,0.64 $\pm$ 0.22,\textbf{0.31} $\pm$ 0.19,-17.53 $\pm$ 1.98,\textbf{1.18} $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{1.71} $\pm$ 0.32,0.64 $\pm$ 0.13,\textbf{0.32} $\pm$ 0.13,-0.64 $\pm$ 0.06
FRPD-DPP-LS,0.33 $\pm$ 0.25,\textbf{1.00} $\pm$ 0.00,0.55 $\pm$ 0.38,0.17 $\pm$ 0.16,0.13 $\pm$ 0.08,-0.11 $\pm$ 0.03,\textbf{0.38} $\pm$ 0.30,\textbf{1.00} $\pm$ 0.00,0.63 $\pm$ 0.46,0.23 $\pm$ 0.20,0.17 $\pm$ 0.12,\textbf{-0.14} $\pm$ 0.05,1.06 $\pm$ 0.51,\textbf{1.00} $\pm$ 0.00,1.46 $\pm$ 0.55,0.55 $\pm$ 0.20,\textbf{0.37} $\pm$ 0.16,\textbf{-0.12} $\pm$ 0.02,\textbf{1.29} $\pm$ 0.61,\textbf{1.00} $\pm$ 0.00,1.81 $\pm$ 0.76,0.64 $\pm$ 0.22,\textbf{0.31} $\pm$ 0.19,-17.53 $\pm$ 1.98,\textbf{1.18} $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{1.71} $\pm$ 0.32,0.64 $\pm$ 0.13,\textbf{0.32} $\pm$ 0.13,-0.64 $\pm$ 0.06
DICE,0.39 $\pm$ 0.34,\textbf{1.00} $\pm$ 0.00,\textbf{0.61} $\pm$ 0.57,\textbf{0.49} $\pm$ 0.24,0.09 $\pm$ 0.07,-1249.41 $\pm$ 295.48,0.61 $\pm$ 0.32,0.95 $\pm$ 0.23,0.48 $\pm$ 0.40,\textbf{0.46} $\pm$ 0.22,0.53 $\pm$ 0.28,-1901.57 $\pm$ 689.21,\textbf{0.38} $\pm$ 0.18,0.50 $\pm$ 0.50,0.49 $\pm$ 0.26,0.52 $\pm$ 0.10,0.63 $\pm$ 0.22,-1387.04 $\pm$ 360.66,1.72 $\pm$ 0.51,0.99 $\pm$ 0.10,\textbf{2.08} $\pm$ 0.55,\textbf{0.87} $\pm$ 0.11,0.77 $\pm$ 0.49,-191881.68 $\pm$ 21630.99,1.72 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,1.33 $\pm$ 0.75,\textbf{0.71} $\pm$ 0.26,0.43 $\pm$ 0.33,-9246.30 $\pm$ 931.32
