method,cost-ge,valid-ge,diversity-ge,dpp-ge,manifold_dist-ge,likelihood-ge,cost-sb,valid-sb,diversity-sb,dpp-sb,manifold_dist-sb,likelihood-sb,cost-st,valid-st,diversity-st,dpp-st,manifold_dist-st,likelihood-st
FRPD-QUAD,0.70 $\pm$ 0.00,\textbf{1.00} $\pm$ 0.00,\textbf{1.23} $\pm$ 0.00,0.74 $\pm$ 0.00,\textbf{0.02} $\pm$ 0.00,\textbf{-1153.50} $\pm$ 0.00,0.62 $\pm$ 0.00,\textbf{1.00} $\pm$ 0.00,\textbf{1.03} $\pm$ 0.00,0.71 $\pm$ 0.00,\textbf{0.02} $\pm$ 0.00,\textbf{-1473.40} $\pm$ 0.00,1.39 $\pm$ 0.00,\textbf{1.00} $\pm$ 0.00,\textbf{1.97} $\pm$ 0.00,0.88 $\pm$ 0.00,\textbf{0.17} $\pm$ 0.00,\textbf{-1291.36} $\pm$ 0.00
DICE,\textbf{0.44} $\pm$ 0.00,\textbf{1.00} $\pm$ 0.00,\textbf{0.64} $\pm$ 0.00,\textbf{0.50} $\pm$ 0.00,0.12 $\pm$ 0.00,\textbf{-1323.80} $\pm$ 0.00,\textbf{0.59} $\pm$ 0.00,0.96 $\pm$ 0.00,\textbf{0.45} $\pm$ 0.00,\textbf{0.42} $\pm$ 0.00,0.49 $\pm$ 0.00,\textbf{-1891.31} $\pm$ 0.00,\textbf{0.28} $\pm$ 0.00,0.35 $\pm$ 0.00,\textbf{0.40} $\pm$ 0.00,\textbf{0.46} $\pm$ 0.00,0.61 $\pm$ 0.00,\textbf{-1364.53} $\pm$ 0.00
